id,name,type,category,power,accuracy,pp,priority,min_hits,max_hits,ailment,ailment_chance,crit_rate,drain,healing,flinch_chance,stat_chance,target,stat_changes
670,Leafage,Grass,Physical,40,100,40,0,1,1,,0,0,0,0,0,0,foe,
671,Spotlight,Normal,Status,0,0,15,3,1,1,,0,0,0,0,0,0,foe,
672,Toxic Thread,Poison,Status,0,100,20,0,1,1,POISON,100,0,0,0,0,100,foe,spe:-1
673,Laser Focus,Normal,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,
674,Gear Up,Steel,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,atk:1|spa:1
675,Throat Chop,Dark,Physical,80,100,15,0,1,1,,100,0,0,0,0,0,foe,
678,Psychic Terrain,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
679,Lunge,Bug,Physical,80,100,15,0,1,1,,0,0,0,0,0,100,foe,atk:-1
680,Fire Lash,Fire,Physical,80,100,15,0,1,1,,0,0,0,0,0,100,foe,def:-1
681,Power Trip,Dark,Physical,20,100,10,0,1,1,,0,0,0,0,0,0,foe,
682,Burn Up,Fire,Special,130,100,5,0,1,1,,0,0,0,0,0,0,foe,
684,Smart Strike,Steel,Physical,70,0,10,0,1,1,,0,0,0,0,0,0,foe,
687,Core Enforcer,Dragon,Special,100,100,10,0,1,1,,0,0,0,0,0,0,foe,
692,Dragon Hammer,Dragon,Physical,90,100,15,0,1,1,,0,0,0,0,0,0,foe,
694,Aurora Veil,Ice,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,
707,Stomping Tantrum,Ground,Physical,75,100,10,0,1,1,,0,0,0,0,0,0,foe,
710,Liquidation,Water,Physical,85,100,10,0,1,1,,0,0,0,0,0,20,foe,def:-1
715,Tearful Look,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,100,foe,atk:-1|spa:-1
742,Double Iron Bash,Steel,Physical,60,100,5,0,2,2,,0,0,0,0,30,0,foe,
776,Body Press,Fighting,Physical,80,100,10,0,1,1,,0,0,0,0,0,0,foe,
784,Breaking Swipe,Dragon,Physical,60,100,15,0,1,1,,0,0,0,0,0,100,foe,atk:-1
791,Life Dew,Water,Status,0,0,10,0,1,1,,0,0,0,25,0,0,self,
814,Dual Wingbeat,Flying,Physical,40,90,10,0,2,2,,0,0,0,0,0,0,foe,
828,Psyshield Bash,Psychic,Physical,70,90,10,0,1,1,,0,0,0,0,0,0,foe,
832,Mystical Power,Psychic,Special,70,90,10,0,1,1,,0,0,0,0,0,0,foe,
833,Raging Fury,Fire,Physical,120,100,10,0,1,1,,0,0,0,0,0,0,foe,
834,Wave Crash,Water,Physical,120,100,10,0,1,1,,0,0,0,0,0,0,foe,
838,Headlong Rush,Ground,Physical,120,100,5,0,1,1,,0,0,0,0,0,0,foe,
842,Shelter,Steel,Status,0,0,10,0,1,1,,0,0,0,0,0,0,self,
849,Lunar Blessing,Psychic,Status,0,0,5,0,1,1,,0,0,0,0,0,0,foe,
850,Take Heart,Psychic,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
853,Axe Kick,Fighting,Physical,120,90,10,0,1,1,,0,0,0,0,0,0,foe,
873,Raging Bull,Normal,Physical,90,100,10,0,1,1,,0,0,0,0,0,0,foe,
883,Snowscape,Ice,Status,0,0,10,0,1,1,,0,0,0,0,0,0,foe,
887,Hyper Drill,Normal,Physical,100,100,5,0,1,1,,0,0,0,0,0,0,foe,
888,Twin Beam,Psychic,Special,40,100,10,0,1,1,,0,0,0,0,0,0,foe,
889,Rage Fist,Ghost,Physical,50,100,10,0,1,1,,0,0,0,0,0,0,foe,
894,Comeuppance,Dark,Physical,1,100,10,0,1,1,,0,0,0,0,0,0,foe,
895,Aqua Cutter,Water,Physical,70,100,20,0,1,1,,0,0,0,0,0,0,foe,
